,0
0,speed_t-48
1,cos_wind_dir_t-48
2,sin_wind_dir_t-48
3,temp_t-48
4,radiation_t-48
5,precip_t-48
6,season_t-48
7,speed_t-47
8,cos_wind_dir_t-47
9,sin_wind_dir_t-47
10,temp_t-47
11,radiation_t-47
12,precip_t-47
13,season_t-47
14,speed_t-46
15,cos_wind_dir_t-46
16,sin_wind_dir_t-46
17,temp_t-46
18,radiation_t-46
19,precip_t-46
20,season_t-46
21,speed_t-45
22,cos_wind_dir_t-45
23,sin_wind_dir_t-45
24,temp_t-45
25,radiation_t-45
26,precip_t-45
27,season_t-45
28,speed_t-44
29,cos_wind_dir_t-44
30,sin_wind_dir_t-44
31,temp_t-44
32,radiation_t-44
33,precip_t-44
34,season_t-44
35,speed_t-43
36,cos_wind_dir_t-43
37,sin_wind_dir_t-43
38,temp_t-43
39,radiation_t-43
40,precip_t-43
41,season_t-43
42,speed_t-42
43,cos_wind_dir_t-42
44,sin_wind_dir_t-42
45,temp_t-42
46,radiation_t-42
47,precip_t-42
48,season_t-42
49,speed_t-41
50,cos_wind_dir_t-41
51,sin_wind_dir_t-41
52,temp_t-41
53,radiation_t-41
54,precip_t-41
55,season_t-41
56,speed_t-40
57,cos_wind_dir_t-40
58,sin_wind_dir_t-40
59,temp_t-40
60,radiation_t-40
61,precip_t-40
62,season_t-40
63,speed_t-39
64,cos_wind_dir_t-39
65,sin_wind_dir_t-39
66,temp_t-39
67,radiation_t-39
68,precip_t-39
69,season_t-39
70,speed_t-38
71,cos_wind_dir_t-38
72,sin_wind_dir_t-38
73,temp_t-38
74,radiation_t-38
75,precip_t-38
76,season_t-38
77,speed_t-37
78,cos_wind_dir_t-37
79,sin_wind_dir_t-37
80,temp_t-37
81,radiation_t-37
82,precip_t-37
83,season_t-37
84,speed_t-36
85,cos_wind_dir_t-36
86,sin_wind_dir_t-36
87,temp_t-36
88,radiation_t-36
89,precip_t-36
90,season_t-36
91,speed_t-35
92,cos_wind_dir_t-35
93,sin_wind_dir_t-35
94,temp_t-35
95,radiation_t-35
96,precip_t-35
97,season_t-35
98,speed_t-34
99,cos_wind_dir_t-34
100,sin_wind_dir_t-34
101,temp_t-34
102,radiation_t-34
103,precip_t-34
104,season_t-34
105,speed_t-33
106,cos_wind_dir_t-33
107,sin_wind_dir_t-33
108,temp_t-33
109,radiation_t-33
110,precip_t-33
111,season_t-33
112,speed_t-32
113,cos_wind_dir_t-32
114,sin_wind_dir_t-32
115,temp_t-32
116,radiation_t-32
117,precip_t-32
118,season_t-32
119,speed_t-31
120,cos_wind_dir_t-31
121,sin_wind_dir_t-31
122,temp_t-31
123,radiation_t-31
124,precip_t-31
125,season_t-31
126,speed_t-30
127,cos_wind_dir_t-30
128,sin_wind_dir_t-30
129,temp_t-30
130,radiation_t-30
131,precip_t-30
132,season_t-30
133,speed_t-29
134,cos_wind_dir_t-29
135,sin_wind_dir_t-29
136,temp_t-29
137,radiation_t-29
138,precip_t-29
139,season_t-29
140,speed_t-28
141,cos_wind_dir_t-28
142,sin_wind_dir_t-28
143,temp_t-28
144,radiation_t-28
145,precip_t-28
146,season_t-28
147,speed_t-27
148,cos_wind_dir_t-27
149,sin_wind_dir_t-27
150,temp_t-27
151,radiation_t-27
152,precip_t-27
153,season_t-27
154,speed_t-26
155,cos_wind_dir_t-26
156,sin_wind_dir_t-26
157,temp_t-26
158,radiation_t-26
159,precip_t-26
160,season_t-26
161,speed_t-25
162,cos_wind_dir_t-25
163,sin_wind_dir_t-25
164,temp_t-25
165,radiation_t-25
166,precip_t-25
167,season_t-25
168,speed_t-24
169,cos_wind_dir_t-24
170,sin_wind_dir_t-24
171,temp_t-24
172,radiation_t-24
173,precip_t-24
174,season_t-24
175,speed_t-23
176,cos_wind_dir_t-23
177,sin_wind_dir_t-23
178,temp_t-23
179,radiation_t-23
180,precip_t-23
181,season_t-23
182,speed_t-22
183,cos_wind_dir_t-22
184,sin_wind_dir_t-22
185,temp_t-22
186,radiation_t-22
187,precip_t-22
188,season_t-22
189,speed_t-21
190,cos_wind_dir_t-21
191,sin_wind_dir_t-21
192,temp_t-21
193,radiation_t-21
194,precip_t-21
195,season_t-21
196,speed_t-20
197,cos_wind_dir_t-20
198,sin_wind_dir_t-20
199,temp_t-20
200,radiation_t-20
201,precip_t-20
202,season_t-20
203,speed_t-19
204,cos_wind_dir_t-19
205,sin_wind_dir_t-19
206,temp_t-19
207,radiation_t-19
208,precip_t-19
209,season_t-19
210,speed_t-18
211,cos_wind_dir_t-18
212,sin_wind_dir_t-18
213,temp_t-18
214,radiation_t-18
215,precip_t-18
216,season_t-18
217,speed_t-17
218,cos_wind_dir_t-17
219,sin_wind_dir_t-17
220,temp_t-17
221,radiation_t-17
222,precip_t-17
223,season_t-17
224,speed_t-16
225,cos_wind_dir_t-16
226,sin_wind_dir_t-16
227,temp_t-16
228,radiation_t-16
229,precip_t-16
230,season_t-16
231,speed_t-15
232,cos_wind_dir_t-15
233,sin_wind_dir_t-15
234,temp_t-15
235,radiation_t-15
236,precip_t-15
237,season_t-15
238,speed_t-14
239,cos_wind_dir_t-14
240,sin_wind_dir_t-14
241,temp_t-14
242,radiation_t-14
243,precip_t-14
244,season_t-14
245,speed_t-13
246,cos_wind_dir_t-13
247,sin_wind_dir_t-13
248,temp_t-13
249,radiation_t-13
250,precip_t-13
251,season_t-13
252,speed_t-12
253,cos_wind_dir_t-12
254,sin_wind_dir_t-12
255,temp_t-12
256,radiation_t-12
257,precip_t-12
258,season_t-12
259,speed_t-11
260,cos_wind_dir_t-11
261,sin_wind_dir_t-11
262,temp_t-11
263,radiation_t-11
264,precip_t-11
265,season_t-11
266,speed_t-10
267,cos_wind_dir_t-10
268,sin_wind_dir_t-10
269,temp_t-10
270,radiation_t-10
271,precip_t-10
272,season_t-10
273,speed_t-9
274,cos_wind_dir_t-9
275,sin_wind_dir_t-9
276,temp_t-9
277,radiation_t-9
278,precip_t-9
279,season_t-9
280,speed_t-8
281,cos_wind_dir_t-8
282,sin_wind_dir_t-8
283,temp_t-8
284,radiation_t-8
285,precip_t-8
286,season_t-8
287,speed_t-7
288,cos_wind_dir_t-7
289,sin_wind_dir_t-7
290,temp_t-7
291,radiation_t-7
292,precip_t-7
293,season_t-7
294,speed_t-6
295,cos_wind_dir_t-6
296,sin_wind_dir_t-6
297,temp_t-6
298,radiation_t-6
299,precip_t-6
300,season_t-6
301,speed_t-5
302,cos_wind_dir_t-5
303,sin_wind_dir_t-5
304,temp_t-5
305,radiation_t-5
306,precip_t-5
307,season_t-5
308,speed_t-4
309,cos_wind_dir_t-4
310,sin_wind_dir_t-4
311,temp_t-4
312,radiation_t-4
313,precip_t-4
314,season_t-4
315,speed_t-3
316,cos_wind_dir_t-3
317,sin_wind_dir_t-3
318,temp_t-3
319,radiation_t-3
320,precip_t-3
321,season_t-3
322,speed_t-2
323,cos_wind_dir_t-2
324,sin_wind_dir_t-2
325,temp_t-2
326,radiation_t-2
327,precip_t-2
328,season_t-2
329,speed_t-1
330,cos_wind_dir_t-1
331,sin_wind_dir_t-1
332,temp_t-1
333,radiation_t-1
334,precip_t-1
335,season_t-1
336,speed_t-0
337,cos_wind_dir_t-0
338,sin_wind_dir_t-0
339,temp_t-0
340,radiation_t-0
341,precip_t-0
342,season_t-0
343,speed_forecast
344,temp_forecast
345,rad_forecast
346,precip_forecast
347,f_period_forecast
348,cos_wind_dir_forecast
349,sin_wind_dir_forecast
350,scenario_forecast
351,dangerous_forecast
352,cos_day
353,cos_hour
